Field of Study ,,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,,7949,7729,7200,7950,6763,7292,7519,7883,7461,8945,8961,10288,9888,9750,10463,10635,12278,12318,12602,12473,13754,13134,12360
,,,,,,,,,,,,,,,,,,,,,,,,
Business and Management2,,101360,102492,105214,113495,113990,107909,98975,99382,102506,110041,137495,144294,154452,164943,177741,188179,197258,200312,200754,196054,182170,174470,145658
,,,,,,,,,,,,,,,,,,,,,,,,
Communications and Journalism,,11234,11277,12219,12595,12726,11439,10955,12090,11494,12135,12966,14412,14762,15707,17497,18678,20161,21160,21913,22824,24017,23925,20613
Education,,13261,12885,14053,15709,16004,15909,15697,16546,16825,17775,18120,18301,16933,17200,17011,17879,17675,19483,17993,17615,16786,15700,15402
,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,73014,76834,83396,88258,96574,95225,92970,88663,89179,96189,119338,127444,135616,141313,154239,170189,196750,216932,230711,232710,230780,220542,190590
,,,,,,,,,,,,,,,,,,,,,,,,
Fine and Applied Arts,,31486,32479,34220,33978,31018,31882,28063,29509,29588,31727,34854,35807,37237,41710,45850,51195,56758,59736,61506,63795,63097,64501,51101
,,,,,,,,,,,,,,,,,,,,,,,,
Health Professions,,20260,21625,22430,24037,28120,25749,26455,27704,28723,29585,35446,32499,32821,29822,31471,31954,33399,33947,34395,35169,35446,34934,32468
,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,,16295,16686,16123,18367,19153,16622,15850,16480,16189,17460,19179,17993,16263,16294,17121,17930,17504,17664,17561,17040,17013,16992,14702
,,,,,,,,,,,,,,,,,,,,,,,,
Intensive English,,21030,21015,23011,21237,17620,15006,16133,17239,22417,25856,28524,26059,32306,38887,39990,43456,49233,40877,30309,25845,22026,21301,8355
,,,,,,,,,,,,,,,,,,,,,,,,
Legal Studies and Law Enforcement,,5403,6382,6456,7301,7134,7039,7152,6985,7260,7463,9789,10039,10749,11185,11298,12702,13778,15077,15306,16894,16483,16269,11684
,,,,,,,,,,,,,,,,,,,,,,,,
Math and Computer Science,,48236,57266,67825,76736,71926,67693,50747,45518,46019,46313,56367,60800,64588,71364,77560,91434,112950,141651,167180,186003,203461,205207,182106
,,,,,,,,,,,,,,,,,,,,,,,,
Physical and Life Sciences,,37055,37420,38396,41417,43549,44607,49499,50168,51863,52867,61699,61311,63471,66007,69152,70479,73838,75385,76838,78700,81580,81971,75029
,,,,,,,,,,,,,,,,,,,,,,,,
Social Sciences,,37255,38629,38940,41241,42415,50464,42263,42235,44983,45535,52631,54853,58345,60974,67786,72390,75951,81304,83046,83708,84320,84440,76419
,,,,,,,,,,,,,,,,,,,,,,,,
Other Fields of Study,,36128,39207,42606,44628,42934,46358,46347,44938,45049,45933,55303,58118,55948,57024,57510,63257,73176,81318,87577,88720,86057,81837,64042
,,,,,,,,,,,,,,,,,,,,,,,,
Undeclared,,30970,32799,35779,36048,36395,29313,27982,17888,19545,19215,20944,18705,19898,22315,24955,25695,24217,26675,21131,17242,18309,20273,13566
Total,,490933,514723,547867,582996,586323,572509,565039,564766,582984,623805,671616,690923,723277,764495,819644,886052,974926,1043839,1078822,1094792,1095299,1075496,914095
