Field of Study,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Physical or Life Sciences,8,8.1,8.1,8,7.8,8.1,7.4
Health Professions,6,6.3,7.1,7.1,6.9,7.1,6
Engineering,4.6,5,5.1,5.3,5.2,5.5,4.3
Math or Computer Science,2.1,2.2,2.4,2.8,2.9,3.2,3.8
Agriculture,1.9,2.3,2.5,2.5,2.7,2.9,3
Business & Management,19.6,20.1,20.9,20.7,20.8,20.7,20.8
Social Sciences**,18.7,17.3,17.1,17.2,17.1,17,19.2
Foreign Language and International Studies,7.8,7.7,7.4,7.3,7.1,6.9,7.8
Fine and Applied Arts,7,6.9,6.9,6.3,6.8,6.9,6.9
Communications and Journalism,5.6,5.8,5.7,5.6,5.5,5.4,6.1
Humanities,4.1,3.8,3.7,3.6,3.6,3.3,3.7
Education,3.7,3.5,3.4,3.3,3.3,3.1,2.4
Legal Studies and Law Enforcement,1.5,1.6,1.5,1.6,1.5,1.6,1.4
Other Fields of Study,6.7,6.8,6.5,6.8,6.7,6.8,6.2
Undeclared,2.6,2.6,1.9,1.9,1.9,1.6,1.1
,,,,,,,
Total,304467,313415,325339,332727,341751,347099,162633
